url,title,author,image,price,"old price","external id"
https://nemira.ro/a-inflorit-liliacul-ebook,"A înflorit liliacul (ebook)","Rodica Ojog-Brașoveanu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/a/-/a-inflorit-liliacul.jpg,"8,74 lei",,4536
https://nemira.ro/cafe-au-lait-ebook,"Café au lait (ebook)","Julian Barnes",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/j/u/julian-barnes---cafe-au-lait---latime-1024px_1.jpg,"17,56 lei",,4541
https://nemira.ro/o-toaleta-a-la-liz-taylor-ebook,"O toaletă a la Liz Taylor (ebook)","Rodica Ojog-Brașoveanu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/r/o/rodica-ojog-brasoveanu---o-toaleta-a-la-liz-taylor---c1_1_1.jpg,"22,49 lei","26,46 lei",6237
https://nemira.ro/cianura-pentru-un-suras-ebook,"Cianură pentru un surâs (ebook)","Rodica Ojog-Brașoveanu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/i/cianura-pentru-un-suras_1.jpg,"22,49 lei","26,46 lei",4515
https://nemira.ro/omul-obsedat-de-carti-ebook,"Omul obsedat de cărți (ebook)","Allison Hoover Bartlett",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/o/m/omul-obsedat-de-carti.jpg,"18,74 lei","22,05 lei",4480
https://nemira.ro/ereticii-dunei-ebook,"Ereticii dunei (ebook)","Frank Herbert",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/e/r/ereticii-dunei.png,"33,74 lei","39,70 lei",4458
https://nemira.ro/canonicatul-dunei-ebook,"Canonicatul dunei (ebook)","Frank Herbert",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/a/canonicatul-dunei.jpg,"33,74 lei","39,70 lei",4457
https://nemira.ro/cabala-ebook,"Cabala (ebook)","Dan Seracu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/a/cabala-dan_seracu_1.jpg,"13,15 lei",,4407
https://nemira.ro/sunetul-viorii-ebook,"Sunetul viorii (ebook)","Andrea Calogero Camilleri",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/s/u/sunetul-viorii_2.jpg,"4,32 lei",,4405
https://nemira.ro/hotul-de-merinde-ebook,"Hoțul de merinde (ebook)","Andrea Calogero Camilleri",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/h/o/hotul-de-merinde.jpg,"4,32 lei",,4406
https://nemira.ro/intre-cer-si-pamant-ebook,"Între cer și pământ (ebook)","Liviu Radu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/l/i/liviu-radu---intre-cer-si-pamant_1.jpg,"22,49 lei","26,46 lei",4371
https://nemira.ro/longitudinea-povestea-unui-geniu-ebook,"Longitudinea - Povestea unui geniu (ebook)","Dava Sobel",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/d/a/dava_sobel_-_longitudinea3_1.jpg,"8,74 lei",,4370
https://nemira.ro/colectionara-de-parfumuri-interzise-ebook,"Colecționara de parfumuri interzise (ebook)","Kathleen Tessaro",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/k/a/kathleen-tessaro---colectionara-de-parfumuri-interzise_1.jpg,"22,49 lei","26,46 lei",4369
https://nemira.ro/planetele-ebook,"Planetele (ebook)","Dava Sobel",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/d/a/dava-sobel---planetele_c1_1.jpg,"8,74 lei",,4368
https://nemira.ro/luna-ucigasa-ebook,"Luna ucigașă (ebook, Seria Vise întunecate, partea I) - ebook","N.K. Jemisin",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/l/u/luna-ucigasa-site_1.jpg,"22,49 lei","26,46 lei",4364
https://nemira.ro/cei-100-seria-cei-100-ebook,"Cei 100 (ebook, Seria Cei 100, partea I)","Kass Morgan",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/e/cei_100_c1_1.jpg,"22,49 lei","26,46 lei",4366
https://nemira.ro/falconer-ebook,"Falconer (ebook)","John Cheever",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/f/a/falconer-c1_2.jpg,"8,74 lei",,4363
https://nemira.ro/secolul-norilor-ebook,"Secolul norilor (ebook)","Philippe Forest",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/s/e/secolul-norilor.jpg,"22,49 lei","26,46 lei",4053
https://nemira.ro/razboiul-elitelor-ebook,"Războiul elitelor (ebook)","David Brin",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/d/a/david-brin---razboiul-elitelor-1_1.jpg,"8,74 lei",,4009
